2008-12-28,12046
2009-01-04,29600
2009-01-11,31392
2009-01-18,30820
2009-01-25,32774
2009-02-01,34887
2009-02-08,35742
2009-02-15,34615
2009-02-22,36395
2009-03-01,34775
2009-03-08,32196
2009-03-15,31050
2009-03-22,28443
2009-03-29,24720
2009-04-05,21861
2009-04-12,21821
2009-04-19,79238
2009-04-26,322457
2009-05-03,95357
2009-05-10,66512
2009-05-17,55347
2009-05-24,42597
2009-05-31,39599
2009-06-07,43744
2009-06-14,39299
2009-06-21,32005
2009-06-28,29885
2009-07-05,30604
2009-07-12,37210
2009-07-19,37085
2009-07-26,46515
2009-08-02,31360
2009-08-09,42883
2009-08-16,30315
2009-08-23,37274
2009-08-30,38792
2009-09-06,40091
2009-09-13,41134
2009-09-20,20961
2009-09-27,43871
2009-10-04,47085
2009-10-11,26041
2009-10-18,59552
2009-10-25,68466
2009-11-01,62401
2009-11-08,49007
2009-11-15,36376
2009-11-22,32040
2009-11-29,5478
2009-12-27,14461
2010-01-03,20785
2010-01-10,22947
2010-01-17,18082
2010-01-24,21855
2010-01-31,22180
2010-02-07,17604
2010-02-14,20275
2010-02-21,20787
2010-02-28,21858
2010-03-07,21266
2010-03-14,21319
2010-03-21,19434
2010-03-28,17020
2010-04-04,17691
2010-04-11,19900
2010-04-18,19986
2010-04-25,20163
2010-05-02,20057
2010-05-09,18212
2010-05-16,16754
2010-05-23,16209
2010-05-30,15877
2010-06-06,11458
2010-06-13,10375
2010-06-20,10401
2010-06-27,10081
2010-07-04,3245
2010-07-11,11320
2010-07-18,14317
2010-07-25,17763
2010-08-01,19406
2010-08-08,20061
2010-08-15,21366
2010-08-22,22106
2010-08-29,23850
2010-09-05,25480
2010-09-12,29605
2010-09-19,31313
2010-09-26,32080
2010-10-03,31814
2010-10-10,33554
2010-10-17,32401
2010-10-24,31488
2010-10-31,33768
2010-11-07,36073
2010-11-14,35510
2010-11-21,33154
2010-11-28,12723
2010-12-26,10384
2011-01-02,51377
2011-01-09,50015
2011-01-16,50886
2011-01-23,47215
2011-01-30,49372
2011-02-06,44860
2011-02-13,45787
2011-02-20,42274
2011-02-27,43361
2011-03-06,40565
2011-03-13,33180
2011-03-20,30815
2011-03-27,33838
2011-04-03,28781
2011-04-10,26912
2011-04-17,21654
2011-04-24,22969
2011-05-01,24713
2011-05-08,23815
2011-05-15,24169
2011-05-22,22413
2011-05-29,21450
2011-06-05,19017
2011-06-12,18142
2011-06-19,18298
2011-06-26,15752
2011-07-03,16110
2011-07-10,15926
2011-07-17,17034
2011-07-24,16970
2011-07-31,16530
2011-08-07,15731
2011-08-14,16305
2011-08-21,16540
2011-08-28,14285
2011-09-04,19028
2011-09-11,22358
2011-09-18,25959
2011-09-25,26057
2011-10-02,29348
2011-10-09,28674
2011-10-16,26936
2011-10-23,37211
2011-10-30,39008
2011-11-06,40656
2011-11-13,37314
2011-11-20,29724
2011-11-27,17540
2011-12-25,2662
2012-01-01,32044
2012-01-08,36468
2012-01-15,35121
2012-01-22,36699
2012-01-29,37852
2012-02-05,39040
2012-02-12,41613
2012-02-19,43366
2012-02-26,44142
2012-03-04,41569
2012-03-11,34087
2012-03-18,30679
2012-03-25,28368
2012-04-01,24683
2012-04-08,25899
2012-04-15,27830
2012-04-22,28673
2012-04-29,23993
2012-05-06,27762
2012-05-13,25643
2012-05-20,25564
2012-05-27,23441
2012-06-03,23250
2012-06-10,22513
2012-06-17,22809
2012-06-24,20835
2012-07-01,20040
2012-07-08,21460
2012-07-15,32513
2012-07-22,21621
2012-07-29,21193
2012-08-05,19779
2012-08-12,20219
2012-08-19,21325
2012-08-26,23594
2012-09-02,25642
2012-09-09,29161
2012-09-16,31346
2012-09-23,35178
2012-09-30,33762
2012-10-07,34395
2012-10-14,37618
2012-10-21,35478
2012-10-28,35243
2012-11-04,38649
2012-11-11,40746
2012-11-18,36847
2012-11-25,33550
